Draft_Year,Round,Pick_Number,Team,Player,Position,Age,Last_Season,All_Pro_Selections,Pro_Bowl_Selections,Games_Started,Weighted_AV,Draft_Rookie_AV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,Column_28
1995,3,87,CHI,Evan Pilgrim,G,23,2000,0,0,0,5,3,32,0,0,0,0,0,0,0,0,0,0,0,,,,BYU,
1995,3,88,NWE,Jimmy Hitchcock,DB,24,2002,0,0,3,28,9,101,0,0,0,0,0,0,0,0,0,0,0,301,19,2.0,North Carolina,
1995,3,89,HOU,Rodney Thomas,RB,22,2001,0,0,1,17,16,103,0,0,0,0,0,532,1973,12,91,631,3,17,,,Texas A&M,College Stats
1995,3,90,GNB,Antonio Freeman,WR,23,2003,1,1,6,65,62,132,0,0,0,0,0,8,17,0,477,7251,61,,,,Virginia Tech,College Stats
1995,3,91,PIT,Brenden Stai,G,23,2002,0,0,7,38,24,105,0,0,0,0,0,0,0,0,0,0,0,,,,Nebraska,College Stats
1995,3,92,DAL,Charlie Williams,DB,23,2000,0,0,0,8,8,81,0,0,0,0,0,0,0,0,0,0,0,91,1,2.0,Bowling Green,College Stats
1995,3,93,SDG,Don Sasa,DT,22,1998,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,1,,,Washington St.,
1995,3,94,CLE,Mike Frederick,DE,23,1999,0,0,1,7,1,71,0,0,0,0,0,0,0,0,0,0,0,32,,2.0,Virginia,
1995,3,95,HOU,Torey Hunter,DB,23,1995,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,6,,,Washington St.,College Stats
1995,3,96,BUF,Damien Covington,LB,22,1997,0,0,1,7,7,30,0,0,0,0,0,0,0,0,0,0,0,61,1,0.5,North Carolina St.,College Stats
1995,3,97,KAN,Troy Dumas,LB,22,1997,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,3,,1.0,Nebraska,College Stats
1995,3,98,SDG,Preston Harrison,LB,,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.,
1995,4,99,JAX,Rob Johnson,QB,22,2003,0,0,2,21,2,48,494,806,5795,30,23,140,877,4,1,-6,0,,,,USC,College Stats
1995,4,100,SDG,Chris Cowart,LB,,,0,0,0,,,,,,,,,,,,,,,,,,Florida St.,
1995,4,101,HOU,Michael Roan,TE,23,2000,0,0,1,4,4,62,0,0,0,0,0,0,0,0,45,403,3,1,,,Wisconsin,College Stats
1995,4,102,CIN,Sam Shade,DB,22,2002,0,0,5,30,11,117,0,0,0,0,0,0,0,0,0,0,0,429,10,8.5,Alabama,College Stats
1995,4,103,WAS,Larry Jones,RB,,,0,0,0,,,,,,,,,,,,,,,,,,Miami (FL),College Stats
1995,4,104,SDG,Aaron Hayden,RB,22,1998,0,0,0,5,4,32,0,0,0,0,0,215,784,4,8,74,0,,,,Tennessee,College Stats
1995,4,105,TAM,Jerry Wilson,DB,22,2005,0,0,2,19,,120,0,0,0,0,0,0,0,0,0,0,0,222,7,6.5,Southern,
1995,4,106,NYJ,Melvin Hayes,T,22,1996,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi St.,
1995,4,107,NYJ,Tyrone Davis,TE,23,2002,0,0,2,8,0,75,0,0,0,0,0,0,0,0,73,795,13,,,,Virginia,College Stats
1995,4,108,NOR,Dameian Jeffries,DE,22,1995,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,College Stats
1995,4,109,BUF,Ken Irvin,DB,23,2005,0,0,5,31,25,147,0,0,0,0,0,0,0,0,0,0,0,303,10,2.0,Memphis,College Stats
1995,4,110,DAL,Eric Bjornson,TE,23,2000,0,0,2,10,9,82,0,0,0,0,0,2,27,2,147,1384,6,,,,Washington,College Stats
1995,4,111,MIN,Chad May,QB,,,0,0,0,,,,,,,,,,,,,,,,,,Kansas St.,College Stats
1995,4,112,NWE,Dave Wohlabaugh,C,23,2003,0,0,9,49,26,128,0,0,0,0,0,0,0,0,0,0,0,,,,Syracuse,
1995,4,113,BUF,Justin Armour,WR,22,1999,0,0,2,7,3,39,0,1,0,0,0,4,-5,0,64,861,7,5,,,Stanford,College Stats
1995,4,114,IND,Ray McElroy,DB,23,2001,0,0,0,7,7,81,0,0,0,0,0,0,0,0,0,0,0,73,,,Eastern Illinois,
1995,4,115,STL,Lovell Pinkney,TE,23,1995,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,13,0,,,,Texas,College Stats
1995,4,116,CHI,Jack Jackson,WR,22,1996,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,39,0,,,,Florida,College Stats
1995,4,117,GNB,Jeff Miller,T,,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi,
1995,4,118,OAK,Mike Morton,LB,23,2001,0,0,1,13,10,103,0,0,0,0,0,0,0,0,0,0,0,124,2,1.0,North Carolina,College Stats
1995,4,119,PHI,Dave Barr,QB,23,1995,0,0,0,0,,2,5,9,42,0,0,1,5,0,0,0,0,,,,California,College Stats
1995,4,120,PIT,Oliver Gibson,DT,23,2003,0,0,4,27,4,133,0,0,0,0,0,0,0,0,0,0,0,182,1,17.5,Notre Dame,
1995,4,121,DEN,Jamie Brown,T,23,1999,0,0,0,8,5,38,0,0,0,0,0,0,0,0,0,0,0,,,,Florida A&M,
1995,4,122,MIA,Pete Mitchell,TE,23,2002,0,0,3,23,,114,0,0,0,0,0,0,0,0,279,2885,15,1,,,Boston Col.,College Stats
1995,4,123,JAX,Mike Thompson,DT,23,2000,0,0,0,3,0,34,0,0,0,0,0,0,0,0,0,0,0,29,,1.5,Wisconsin,
1995,4,124,DEN,Ken Brown,LB,24,1995,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Virginia Tech,College Stats
1995,4,125,PIT,Donta Jones,LB,23,2000,0,0,0,10,8,91,0,0,0,0,0,0,0,0,0,0,0,74,,4.0,Nebraska,
1995,4,126,SEA,Jason Kyle,LB,23,2010,0,0,0,11,3,203,0,0,0,0,0,0,0,0,0,0,0,24,,,Arizona St.,College Stats
1995,4,127,SFO,Tim Hanshaw,G,25,1998,0,0,0,4,4,30,0,0,0,0,0,0,0,0,0,0,0,,,,BYU,
1995,4,128,NYG,Rob Zatechka,G,23,1997,0,0,0,5,5,47,0,0,0,0,0,0,0,0,0,0,0,,,,Nebraska,
1995,4,129,DAL,Alundis Brice,DB,25,1996,0,0,0,2,2,24,0,0,0,0,0,0,0,0,0,0,0,18,1,,Mississippi,College Stats
1995,4,130,DAL,Linc Harden,LB,,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma St.,
1995,4,131,BUF,Tony Cline,TE,23,1999,0,0,1,2,2,52,0,0,0,0,0,0,0,0,32,255,1,,,,Stanford,College Stats
1995,4,132,CAR,Frank Garcia,C,23,2003,0,0,5,39,36,125,0,0,0,0,0,0,0,0,0,0,0,,,,Washington,
1995,4,133,NYG,Ben Talley,LB,23,1998,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,,,,Tennessee,College Stats
1995,4,134,KAN,Steve Stenstrom,QB,23,1999,0,0,0,6,,17,177,314,1895,4,12,22,100,2,1,9,0,,,,Stanford,College Stats
1995,5,135,CAR,Michael Senters,DB,,,0,0,0,,,,,,,,,,,,,,,,,,Northwestern,College Stats
1995,5,136,CLE,Tau Pupua,DT,,,0,0,0,,,,,,,,,,,,,,,,,,Weber St.,
1995,5,137,WAS,Jamie Asher,TE,22,1998,0,0,3,13,13,48,0,0,0,0,0,0,0,0,133,1421,5,,,,Louisville,College Stats
1995,5,138,OAK,Matt Dyson,LB,23,1995,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,
1995,5,139,CIN,David Dunn,WR,23,2001,0,0,0,13,12,88,0,1,0,0,0,1,-13,0,91,1264,4,22,,,Fresno St.,College Stats
1995,5,140,STL,Mike Scurlock,DB,23,1999,0,0,0,5,4,65,0,0,0,0,0,0,0,0,0,0,0,22,1,,Arizona,College Stats
1995,5,141,DET,Stephen Boyd,LB,23,2001,0,2,4,41,41,86,0,0,0,0,0,0,0,0,0,0,0,365,3,6.5,Boston Col.,College Stats
1995,5,142,NYJ,Carl Greenwood,DB,23,1996,0,0,0,2,2,24,0,0,0,0,0,0,0,0,0,0,0,14,,,UCLA,
1995,5,143,TAM,Clifton Abraham,DB,23,1997,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,,,Florida St.,College Stats
1995,5,144,BUF,John Holecek,LB,23,2002,0,0,4,28,23,81,0,0,0,0,0,0,0,0,0,0,0,266,2,3.5,Illinois,
1995,5,145,ATL,Roell Preston,WR,23,1999,0,1,0,6,3,53,0,0,0,0,0,0,0,0,30,360,2,,,,Mississippi,College Stats
1995,5,146,DEN,Phil Yeboah-Kodie,LB,24,1996,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,,,,Penn St.,College Stats
1995,5,147,CLE,Mike Miller,WR,,,0,0,0,,,,,,,,,,,,,,,,,,Notre Dame,College Stats
1995,5,148,NOR,William Strong,DB,23,1996,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,1,,,North Carolina St.,College Stats
1995,5,149,IND,Derek West,T,23,1997,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,Colorado,
1995,5,150,ARI,Cedric Davis,DB,,,0,0,0,,,,,,,,,,,,,,,,,,Tennessee St.,
1995,5,151,PIT,Lee Flowers,DB,22,2002,0,0,5,35,35,112,0,0,0,0,0,0,0,0,0,0,0,307,4,12.0,Georgia Tech,
1995,5,152,WAS,Rich Owens,DE,23,2002,0,0,3,28,17,97,0,0,0,0,0,0,0,0,0,0,0,151,,28.5,Lehigh,
1995,5,153,NYG,Roderick Mullen,DB,22,1999,0,0,0,4,,53,0,0,0,0,0,0,0,0,0,0,0,62,1,,Grambling St.,
1995,5,154,OAK,Jeff Kysar,T,,,0,0,0,,,,,,,,,,,,,,,,,,Arizona St.,
1995,5,155,KAN,Mike Pelton,DT,,,0,0,0,,,,,,,,,,,,,,,,,,Auburn,College Stats
1995,5,156,DET,Kez McCorvey,WR,23,1997,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,9,0,,,,Florida St.,College Stats
1995,5,157,MIN,James Stewart,RB,23,1995,0,0,0,1,1,4,0,0,0,0,0,31,144,0,1,3,0,,,,Miami (FL),College Stats
1995,5,158,MIA,Norman Hand,DT,23,2004,0,0,6,36,1,115,0,0,0,0,0,0,0,0,0,0,0,217,2,22.5,Mississippi,College Stats
1995,5,159,HOU,Gary Walker,DT,22,2005,0,2,10,63,21,155,0,0,0,0,0,0,0,0,0,0,0,319,,46.5,Auburn,
1995,5,160,GNB,Jay Barker,QB,,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats
1995,5,161,PIT,Lance Brown,DB,23,2001,0,0,1,6,3,58,0,0,0,0,0,0,0,0,0,0,0,30,,1.0,Indiana,College Stats
1995,5,162,SDG,'Omar Ellison,WR,23,1996,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,21,0,,,,Florida St.,College Stats
1995,5,163,DET,Ronald Cherry,T,,,0,0,0,,,,,,,,,,,,,,,,,,McNeese St.,
1995,5,164,KAN,Jerrott Willard,LB,23,1998,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,California,
1995,5,165,ARI,Lance Scott,C,23,1998,0,0,2,12,,32,0,0,0,0,0,0,0,0,0,0,0,,,,Utah,
1995,5,166,DAL,Edward Hervey,WR,,,0,0,0,,,,,,,,,,,,,,,,,,USC,College Stats
1995,5,167,ARI,Tito Paul,DB,22,1999,0,0,0,7,4,67,0,0,0,0,0,0,0,0,0,0,0,96,1,,Ohio St.,
1995,5,168,DAL,Dana Howard,LB,23,1996,0,0,0,1,,19,0,0,0,0,0,0,0,0,0,0,0,1,,,Illinois,College Stats
1995,5,169,JAX,Ryan Christopherson,RB,23,1996,0,0,0,0,0,19,0,0,0,0,0,16,16,1,1,-1,0,,,,Wyoming,College Stats
1995,5,170,GNB,Travis Jervey,RB,23,2003,0,1,1,4,4,109,0,0,0,0,0,129,503,2,10,35,0,18,,,The Citadel,
1995,5,171,CAR,Andrew Peterson,T,23,1995,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,,,,Washington,
1995,6,172,JAX,Marcus Price,T,23,2004,0,0,0,11,,77,0,0,0,0,0,0,0,0,0,0,0,,,,LSU,
1995,6,173,GNB,Charlie Simmons,WR,,,0,0,0,,,,,,,,,,,,,,,,,,Georgia Tech,College Stats
1995,6,174,HOU,Hicham El-Mashtoub,C,23,1996,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Arizona,
1995,6,175,CIN,Ryan Grigson,T,,,0,0,0,,,,,,,,,,,,,,,,,,Purdue,
1995,6,176,WAS,Brian Thure,T,22,1995,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,California,
1995,6,177,SDG,Troy Sienkiewicz,G,23,1998,0,0,0,2,2,28,0,0,0,0,0,0,0,0,0,0,0,,,,New Mexico St.,
1995,6,178,NYJ,Eddie Mason,LB,23,2002,0,0,0,7,1,80,0,0,0,0,0,0,0,0,0,0,0,76,,3.0,North Carolina,
1995,6,179,TAM,Wardell Rouse,LB,23,1995,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,6,,0.5,Clemson,College Stats
1995,6,180,SEA,Henry McMillian,DT,23,1996,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,
