Feature,Importance,Is_Coach_Feature
CB_Players_Departed,0.0,False
CB_Departure_Rate_Pct,0.0,False
CB_Net_Change,0.0,False
Yds__hc_Norm,0.0,True
LS_Pct,0.0,False
Off_Pct,0.0,False
Def_Pct,0.0,False
QB_Departure_Rate_Pct,0.0,False
QB_Net_Change,0.0,False
RB_Players_Retained,0.0,False
RB_Players_Departed,0.0,False
RB_Retention_Rate_Pct,0.0,False
RB_Departure_Rate_Pct,0.0,False
WR_Players_Retained,0.0,False
WR_Players_Departed,0.0,False
WR_Retention_Rate_Pct,0.0,False
WR_Departure_Rate_Pct,0.0,False
TE_Players_Departed,0.0,False
TE_Players_New,0.0,False
RZPct__hc_Norm,0.0,True
RZPct__opp__hc_Norm,0.0,True
